index,country code,country,année,quantile,nb_quantiles,log_income,income,gdpppp,gini,population,cluster
8311,PAK,Pakistan,2008,13,100,2.6598208919088626,456.89972,2335.0,30.0,171648986,2
8312,PAK,Pakistan,2008,14,100,2.6664179128200933,463.8931,2335.0,30.0,171648986,2
8313,PAK,Pakistan,2008,15,100,2.6730505690744923,471.03217,2335.0,30.0,171648986,2
8314,PAK,Pakistan,2008,16,100,2.680687493806748,479.38837,2335.0,30.0,171648986,2
8315,PAK,Pakistan,2008,17,100,2.6868469135464412,486.23578,2335.0,30.0,171648986,2
8316,PAK,Pakistan,2008,18,100,2.693574039800911,493.8261,2335.0,30.0,171648986,2
8317,PAK,Pakistan,2008,19,100,2.699574876507802,500.69687000000005,2335.0,30.0,171648986,2
8318,PAK,Pakistan,2008,20,100,2.7054616157224327,507.52988,2335.0,30.0,171648986,2
8319,PAK,Pakistan,2008,21,100,2.711455012572607,514.5825,2335.0,30.0,171648986,2
8320,PAK,Pakistan,2008,22,100,2.7179480466141235,522.3337,2335.0,30.0,171648986,2
8321,PAK,Pakistan,2008,23,100,2.7233192542317,528.83386,2335.0,30.0,171648986,2
8322,PAK,Pakistan,2008,24,100,2.7285709885838023,535.26764,2335.0,30.0,171648986,2
8323,PAK,Pakistan,2008,25,100,2.7338474572533986,541.81055,2335.0,30.0,171648986,2
8324,PAK,Pakistan,2008,26,100,2.739243176404336,548.58405,2335.0,30.0,171648986,2
8325,PAK,Pakistan,2008,27,100,2.7455568563888932,556.6175,2335.0,30.0,171648986,2
8326,PAK,Pakistan,2008,28,100,2.7506683523805986,563.2074,2335.0,30.0,171648986,2
8327,PAK,Pakistan,2008,29,100,2.75555209306144,569.57654,2335.0,30.0,171648986,2
8328,PAK,Pakistan,2008,30,100,2.760464553663402,576.0558,2335.0,30.0,171648986,2
8329,PAK,Pakistan,2008,31,100,2.7651967575756693,582.367,2335.0,30.0,171648986,2
8330,PAK,Pakistan,2008,32,100,2.769191159974022,587.748,2335.0,30.0,171648986,2
8331,PAK,Pakistan,2008,33,100,2.773704988848984,593.8886,2335.0,30.0,171648986,2
8332,PAK,Pakistan,2008,34,100,2.7789079280094207,601.0463,2335.0,30.0,171648986,2
8333,PAK,Pakistan,2008,35,100,2.784067837237147,608.23,2335.0,30.0,171648986,2
8334,PAK,Pakistan,2008,36,100,2.7886054163865825,614.6182,2335.0,30.0,171648986,2
8335,PAK,Pakistan,2008,37,100,2.792908402565913,620.7381,2335.0,30.0,171648986,2
8336,PAK,Pakistan,2008,38,100,2.797275367758026,627.0113,2335.0,30.0,171648986,2
8337,PAK,Pakistan,2008,39,100,2.8027163399149657,634.9161,2335.0,30.0,171648986,2
8338,PAK,Pakistan,2008,40,100,2.807129294144271,641.4005,2335.0,30.0,171648986,2
8339,PAK,Pakistan,2008,41,100,2.8111246610774394,647.3284,2335.0,30.0,171648986,2
8340,PAK,Pakistan,2008,42,100,2.8153864838299367,653.71204,2335.0,30.0,171648986,2
8341,PAK,Pakistan,2008,43,100,2.8200022296570464,660.6968400000001,2335.0,30.0,171648986,2
8342,PAK,Pakistan,2008,44,100,2.8246655016649598,667.82935,2335.0,30.0,171648986,2
8343,PAK,Pakistan,2008,45,100,2.8298394389439463,675.83307,2335.0,30.0,171648986,2
8344,PAK,Pakistan,2008,46,100,2.835324024470889,684.4221,2335.0,30.0,171648986,2
8345,PAK,Pakistan,2008,47,100,2.840257217702156,692.24084,2335.0,30.0,171648986,2
8346,PAK,Pakistan,2008,48,100,2.8452661042724428,700.27094,2335.0,30.0,171648986,2
8347,PAK,Pakistan,2008,49,100,2.84985023884354,707.7017,2335.0,30.0,171648986,2
8348,PAK,Pakistan,2008,50,100,2.8548148703693594,715.8382,2335.0,30.0,171648986,2
8349,PAK,Pakistan,2008,51,100,2.8599563786341564,724.3632,2335.0,30.0,171648986,2
8350,PAK,Pakistan,2008,52,100,2.8651771645722044,733.12354,2335.0,30.0,171648986,2
8351,PAK,Pakistan,2008,53,100,2.8708412337772478,742.7475599999999,2335.0,30.0,171648986,2
8352,PAK,Pakistan,2008,54,100,2.875375636692168,750.5431,2335.0,30.0,171648986,2
8353,PAK,Pakistan,2008,55,100,2.8799592495564443,758.5064,2335.0,30.0,171648986,2
8354,PAK,Pakistan,2008,56,100,2.8844249345810447,766.34607,2335.0,30.0,171648986,2
8355,PAK,Pakistan,2008,57,100,2.889602130351737,775.5363,2335.0,30.0,171648986,2
8356,PAK,Pakistan,2008,58,100,2.8948142737521105,784.8999,2335.0,30.0,171648986,2
8357,PAK,Pakistan,2008,59,100,2.9002495800984347,794.78485,2335.0,30.0,171648986,2
8358,PAK,Pakistan,2008,60,100,2.9058641212819505,805.1265,2335.0,30.0,171648986,2
8359,PAK,Pakistan,2008,61,100,2.9109643713214184,814.63745,2335.0,30.0,171648986,2
8360,PAK,Pakistan,2008,62,100,2.9158285882454926,823.8129,2335.0,30.0,171648986,2
8361,PAK,Pakistan,2008,63,100,2.922084335781808,835.7653,2335.0,30.0,171648986,2
8362,PAK,Pakistan,2008,64,100,2.927492728546355,846.2384,2335.0,30.0,171648986,2
8363,PAK,Pakistan,2008,65,100,2.9325058282262892,856.0632,2335.0,30.0,171648986,2
8364,PAK,Pakistan,2008,66,100,2.9381869221171306,867.3351,2335.0,30.0,171648986,2
8365,PAK,Pakistan,2008,67,100,2.94475673405018,880.5555,2335.0,30.0,171648986,2
8366,PAK,Pakistan,2008,68,100,2.9512003591836806,893.7177,2335.0,30.0,171648986,2
8367,PAK,Pakistan,2008,69,100,2.957433630317864,906.6374,2335.0,30.0,171648986,2
8368,PAK,Pakistan,2008,70,100,2.9631289468016018,918.6053,2335.0,30.0,171648986,2
8369,PAK,Pakistan,2008,71,100,2.9697244453837675,932.66235,2335.0,30.0,171648986,2
8370,PAK,Pakistan,2008,72,100,2.9773288305228416,949.13684,2335.0,30.0,171648986,2
